Звездный Лорд;https://litnet.com/ru/book/zvezdnyi-lord-b392398;Бесплатно;Александр Setroi Шаравар;https://litnet.com/ru/aleksandr-setroi-sharavar-u170918
Звездный лорд. Том 4;https://litnet.com/ru/book/zvezdnyi-lord-tom-4-b397183;119            RUB;Александр Setroi Шаравар;https://litnet.com/ru/aleksandr-setroi-sharavar-u170918
Падший 3;https://litnet.com/ru/book/padshii-3-b338780;139            RUB;Алекс Платт;https://litnet.com/ru/aleks-platt-u6245037
Забирая жизни;https://litnet.com/ru/book/zabiraya-zhizni-b127851;Бесплатно;Вячеслав Бец;https://litnet.com/ru/vyacheslav-bec-u2217982
Охотник 2: Проклятый ;https://litnet.com/ru/book/ohotnik-2-proklyatyi-b155483;129            RUB;Александр Робский ;https://litnet.com/ru/aleksandr-robskii-u1889868
История Бессмертного-1 Поврежденный мир;https://litnet.com/ru/book/istoriya-bessmertnogo-1-povrezhdennyi-mir-b211440;Бесплатно;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Дисгардиум 8. Враг Преисподней;https://litnet.com/ru/book/disgardium-8-vrag-preispodnei-b300209;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Пробуждение Системы 2: Без шансов;https://litnet.com/ru/book/probuzhdenie-sistemy-2-bez-shansov-b368896;119            RUB;Павел Семенов;https://litnet.com/ru/pavel-semenov-u6021956
История Бессмертного-6. Стражи Земли;https://litnet.com/ru/book/istoriya-bessmertnogo-6-strazhi-zemli-b327937;165            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Ветер;https://litnet.com/ru/book/veter-b22735;Бесплатно;Сергей Панченко;https://litnet.com/ru/sergei-panchenko-u90239
Ветер: Начало Времен;https://litnet.com/ru/book/veter-nachalo-vremen-b47943;119            RUB;Сергей Панченко;https://litnet.com/ru/sergei-panchenko-u90239
Дисгардиум 6. Путь духа;https://litnet.com/ru/book/disgardium-6-put-duha-b246121;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Дисгардиум 10. Явная угроза;https://litnet.com/ru/book/disgardium-10-yavnaya-ugroza-b355081;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Вернуться в Антарктиду;https://litnet.com/ru/book/vernutsya-v-antarktidu-b377159;Бесплатно;Нат Жарова;https://litnet.com/ru/nat-zharova-u12021
